,text,ttext,nstop
165," new podcast! ""434: all about that base (with evan bazel"" on       ","[' ', 'new', 'podcast', '!', '""', '434', ':', 'all', 'about', 'that', 'base', '(', 'with', 'evan', 'bazel', '""', 'on', '      ']","[' ', 'new', 'podcast', '!', '""', '434', ':', 'about', 'base', '(', 'evan', 'bazel', '""', '      ']"
166,cps staff should all work remotely &amp; go to the building only when it's urgently necessary!!!! ‍‍follow the… ,"['cps', 'staff', 'should', 'all', 'work', 'remotely', '&', 'amp', ';', 'go', 'to', 'the', 'building', 'only', 'when', 'it', ""'s"", 'urgently', 'necessary', '!', '!', '!', '!', '\u200d\u200dfollow', 'the', '…']","['cps', 'staff', 'all', 'work', 'remotely', '&', 'amp', ';', 'to', 'building', 'when', ""'s"", 'urgently', 'necessary', '!', '!', '!', '!', '\u200d\u200dfollow', '…']"
167,"my last email for the day b ought on a huge smile. happy, excited and proud that krishna sudheendra is in the top 2… ","['my', 'last', 'email', 'for', 'the', 'day', 'b', 'ought', 'on', 'a', 'huge', 'smile', '.', 'happy', ',', 'excited', 'and', 'proud', 'that', 'krishna', 'sudheendra', 'is', 'in', 'the', 'top', '2', '…']","['last', 'email', 'day', 'b', 'ought', 'a', 'huge', 'smile', '.', 'happy', ',', 'excited', 'proud', 'krishna', 'sudheendra', 'in', 'the', 'top', '2', '…']"
168,speaking out in australia. when will someone in our government tell us the truth? ,"['speaking', 'out', 'in', 'australia', '.', 'when', 'will', 'someone', 'in', 'our', 'government', 'tell', 'us', 'the', 'truth', '?']","['speaking', 'in', 'australia', '.', 'will', 'in', 'government', 'tell', 'the', 'truth', '?']"
169,bbc news - coronavirus: trump denies downplaying severity of virus ,"['bbc', 'news', '-', 'coronavirus', ':', 'trump', 'denies', 'downplaying', 'severity', 'of', 'virus']","['bbc', 'news', '-', 'coronavirus', ':', 'trump', 'denies', 'downplaying', 'severity', 'virus']"
170,trump touts herd immunity approach to covid-19 that experts warn would kill millions: ‘he’s describing a massacre’… ,"['trump', 'touts', 'herd', 'immunity', 'approach', 'to', 'covid-19', 'that', 'experts', 'warn', 'would', 'kill', 'millions', ':', '‘', 'he', '’s', 'describing', 'a', 'massacre', '’', '…']","['trump', 'touts', 'herd', 'immunity', 'approach', 'covid-19', 'experts', 'warn', 'kill', 'millions', ':', '‘', '’s', 'describing', 'massacre', '’', '…']"
171,ed ojeron says lsu’s ‘most’ players have contracted coronavirus ,"['ed', 'ojeron', 'says', 'lsu', '’s', '‘', 'most', '’', 'players', 'have', 'contracted', '\xa0', 'coronavirus']","['ed', 'ojeron', 'says', 'lsu', '‘', '’', 'players', 'contracted', '\xa0', 'coronavirus']"
172,it’s not us.  ,"['it', '’s', 'not', 'us', '.', ' ']","['’s', 'us', '.', ' ']"
173,community association board meetings during the time of covid-19 | vandeventer black llp -  ,"['community', 'association', 'board', 'meetings', 'during', 'the', 'time', 'of', 'covid-19', '|', 'vandeventer', 'black', 'llp', '-', ' ']","['community', 'association', 'board', 'meetings', 'the', 'time', 'covid-19', '|', 'vandeventer', 'black', 'llp', '-', ' ']"
174,why a negative test doesn’t guarantee you don’t have the coronavirus  via ,"['why', 'a', 'negative', 'test', 'does', 'n’t', 'guarantee', 'you', 'do', 'n’t', 'have', 'the', 'coronavirus', ' ', 'via']","['a', 'negative', 'test', 'guarantee', 'do', 'n’t', 'have', 'coronavirus', ' ']"
175," the “i alone can fix it” guy has provided america with 200,000 deaths due to his failed response to cor… ","[' ', 'the', '“', 'i', 'alone', 'can', 'fix', 'it', '”', 'guy', 'has', 'provided', 'america', 'with', '200,000', 'deaths', 'due', 'to', 'his', 'failed', 'response', 'to', 'cor', '…']","[' ', '“', 'alone', 'fix', '”', 'guy', 'provided', 'america', '200,000', 'deaths', 'failed', 'response', 'to', 'cor', '…']"
176,third staff member tests positive for coronavirus at bournemouth wetherspoon pub ,"['third', 'staff', 'member', 'tests', 'positive', 'for', 'coronavirus', 'at', 'bournemouth', 'wetherspoon', 'pub']","['staff', 'member', 'tests', 'positive', 'coronavirus', 'bournemouth', 'wetherspoon', 'pub']"
177,follow the disclaimers.  ,"['follow', 'the', 'disclaimers', '.', ' ']","['follow', 'disclaimers', '.', ' ']"
178,all that horrible wildfire smoke could be making people more vulnerable to covid-19  via ,"['all', 'that', 'horrible', 'wildfire', 'smoke', 'could', 'be', 'making', 'people', 'more', 'vulnerable', 'to', 'covid-19', ' ', 'via']","['that', 'horrible', 'wildfire', 'smoke', 'be', 'making', 'people', 'vulnerable', 'covid-19', ' ']"
179,".,  and  have put together key advice on sighted guiding during the  pandemic. re… ","['.', ',', ' ', 'and', ' ', 'have', 'put', 'together', 'key', 'advice', 'on', 'sighted', 'guiding', 'during', 'the', ' ', 'pandemic', '.', 're', '…']","['.', ',', ' ', ' ', 'put', 'key', 'advice', 'sighted', 'guiding', 'the', ' ', 'pandemic', '.', '…']"
180,shocking!! ,"['shocking', '!', '!']","['shocking', '!', '!']"
181,logical result to 'if we tested less we'd have fewer cases' is: ,"['logical', 'result', 'to', ""'"", 'if', 'we', 'tested', 'less', 'we', ""'d"", 'have', 'fewer', 'cases', ""'"", 'is', ':']","['logical', 'result', ""'"", 'we', 'tested', 'we', 'have', 'fewer', 'cases', ""'"", ':']"
182,trump confirms white house staff member tested positive for covid-19 ,"['trump', 'confirms', 'white', 'house', 'staff', 'member', 'tested', 'positive', 'for', '\xa0', 'covid-19']","['trump', 'confirms', 'white', 'house', 'staff', 'member', 'tested', 'positive', '\xa0', 'covid-19']"
183,i hate it here. ,"['i', 'hate', 'it', 'here', '.']","['hate', 'here', '.']"
184,"⁦has ⁩, his family been threatened? by whom?  are these illusory threats really being “prosecuted”?  if so,… ","['\u2066has', '\u2069', ',', 'his', 'family', 'been', 'threatened', '?', 'by', 'whom', '?', ' ', 'are', 'these', 'illusory', 'threats', 'really', 'being', '“', 'prosecuted', '”', '?', ' ', 'if', 'so', ',', '…']","['\u2066has', '\u2069', ',', 'family', 'threatened', '?', 'whom', '?', ' ', 'these', 'illusory', 'threats', 'being', '“', 'prosecuted', '”', '?', ' ', 'so', ',', '…']"
185,some international travellers present fake covid-19 test results - ptf -  ,"['some', 'international', 'travellers', 'present', 'fake', 'covid-19', 'test', 'results', '-', 'ptf', '-', ' ']","['international', 'travellers', 'present', 'fake', 'covid-19', 'test', 'results', '-', 'ptf', '-', ' ']"
186,president trump says he can talk gop into going for 'larger' coronavirus aid ,"['president', 'trump', 'says', 'he', 'can', 'talk', 'gop', 'into', 'going', 'for', ""'"", 'larger', ""'"", 'coronavirus', 'aid']","['president', 'trump', 'says', 'can', 'talk', 'gop', 'going', ""'"", 'larger', ""'"", 'coronavirus', 'aid']"
187,south park's new hour-long special will tackle the coronavirus     - cnet ,"['south', 'park', ""'s"", 'new', 'hour', '-', 'long', 'special', 'will', 'tackle', 'the', 'coronavirus', '    ', '-', 'cnet']","['south', 'park', 'new', 'hour', '-', 'long', 'special', 'tackle', 'coronavirus', '    ', '-', 'cnet']"
188,"the commission on higher education has completed guidelines for possible face-to-face classes by january, but only… ","['the', 'commission', 'on', 'higher', 'education', 'has', 'completed', 'guidelines', 'for', 'possible', 'face', '-', 'to', '-', 'face', 'classes', 'by', 'january', ',', 'but', 'only', '…']","['commission', 'higher', 'education', 'completed', 'guidelines', 'possible', 'face', '-', '-', 'face', 'classes', 'january', ',', 'only', '…']"
189,there where about 20 folks in line but because we had made an appointment we where taken right away. it was very we… ,"['there', 'where', 'about', '20', 'folks', 'in', 'line', 'but', 'because', 'we', 'had', 'made', 'an', 'appointment', 'we', 'where', 'taken', 'right', 'away', '.', 'it', 'was', 'very', 'we', '…']","['where', '20', 'folks', 'line', 'because', 'had', 'an', 'appointment', 'where', 'taken', 'right', 'away', '.', 'was', 'we', '…']"
190,daylight saving time bill proposes skipping time change this year amid covid-19 pandemic — wrong answer.  switch ba… ,"['daylight', 'saving', 'time', 'bill', 'proposes', 'skipping', 'time', 'change', 'this', 'year', 'amid', 'covid-19', 'pandemic', '—', 'wrong', 'answer', '.', ' ', 'switch', 'ba', '…']","['daylight', 'saving', 'time', 'bill', 'proposes', 'skipping', 'time', 'change', 'year', 'amid', 'covid-19', 'pandemic', '—', 'wrong', 'answer', '.', ' ', 'switch', 'ba', '…']"
191,yelp data shows 60% of business closures due to the coronavirus are never reopening.  ,"['yelp', 'data', 'shows', '60', '%', 'of', 'business', 'closures', 'due', 'to', 'the', 'coronavirus', 'are', 'never', 'reopening', '.', ' ']","['yelp', 'data', 'shows', '60', '%', 'business', 'closures', 'to', 'coronavirus', 'never', 'reopening', '.', ' ']"
192,wish we had this here in usa. ,"['wish', 'we', 'had', 'this', 'here', 'in', 'usa', '.']","['wish', 'had', 'here', 'usa', '.']"
193,"no, you are just spinning his answer, abc and msm seem to think no one watches the briefing ","['no', ',', 'you', 'are', 'just', 'spinning', 'his', 'answer', ',', 'abc', 'and', 'msm', 'seem', 'to', 'think', 'no', 'one', 'watches', 'the', 'briefing']","[',', 'are', 'spinning', 'answer', ',', 'abc', 'msm', 'to', 'think', 'one', 'watches', 'briefing']"
194,... and covid19 potential contacts! thx &amp; rgds ^rw cc     … ,"['...', 'and', 'covid19', 'potential', 'contacts', '!', 'thx', '&', 'amp', ';', 'rgds', '^rw', 'cc', '    ', '…']","['...', 'covid19', 'potential', 'contacts', '!', 'thx', '&', 'amp', ';', 'rgds', '^rw', 'cc', '    ', '…']"
195,but the riverton fancy car gathering and the car parade  were well worth it. right? ,"['but', 'the', 'riverton', 'fancy', 'car', 'gathering', 'and', 'the', 'car', 'parade', ' ', 'were', 'well', 'worth', 'it', '.', 'right', '?']","['the', 'riverton', 'fancy', 'car', 'gathering', 'the', 'car', 'parade', ' ', 'well', 'worth', '.', 'right', '?']"
196,the majority of children who die from covid-19 are children of color ,"['the', 'majority', 'of', 'children', 'who', 'die', 'from', 'covid-19', 'are', 'children', 'of', 'color']","['majority', 'children', 'die', 'covid-19', 'children', 'color']"
197,oh god. ,"['oh', 'god', '.']","['oh', 'god', '.']"
198, one of the challenges the us faces during the covid-19 crisis is president trump has not always been… ,"[' ', 'one', 'of', 'the', 'challenges', 'the', 'us', 'faces', 'during', 'the', 'covid-19', 'crisis', 'is', 'president', 'trump', 'has', 'not', 'always', 'been', '…']","[' ', 'of', 'challenges', 'us', 'faces', 'the', 'covid-19', 'crisis', 'president', 'trump', 'not', 'been', '…']"
199,"meant to be going away golfing next week for a couple of nights, this better not be fucking true  ","['meant', 'to', 'be', 'going', 'away', 'golfing', 'next', 'week', 'for', 'a', 'couple', 'of', 'nights', ',', 'this', 'better', 'not', 'be', 'fucking', 'true', ' ']","['meant', 'be', 'going', 'away', 'golfing', 'week', 'a', 'couple', 'nights', ',', 'better', 'be', 'fucking', 'true', ' ']"
